"jornada","jornada_id","id","name","points","jornada_points","teamValue","position","lineup.type","lineup.players_1","lineup.players_2","lineup.players_3","lineup.players_4","lineup.players_5","lineup.players_6","lineup.players_7","lineup.players_8","lineup.players_9","lineup.players_10","lineup.players_11"
8,4491,11678835,"Julia",196,32,80020000,7,"4-3-3",17021,290,26566,26813,1074,19445,9480,32135,35615,16317,34803
9,4492,8128710,"Los vengadores",404,39,144970000,1,"3-4-3",23880,1679,10574,33971,26068,38075,5807,31243,26271,19577,32435
9,4492,10089858,"Karlox F.C.",346,34,87550000,2,"4-3-3",11,30493,34111,21068,37715,30789,24474,38355,38289,2009,12526
9,4492,8127478,"Arregui",442,38,112290000,3,"3-4-3",38405,27996,38143,27960,2597,21145,35344,30210,18382,17937,91
9,4492,6822272,"Ricardo J",316,48,152440000,4,"3-5-2",38527,38493,2031,20,19441,19547,1249,2602,26299,34479,38962
9,4492,6826480,"Víctor Orta",268,41,70040000,5,"4-3-3",9090,11800,32440,38194,38290,38963,4245,32629,38164,9047,32363
9,4492,5684093,"CD Cornisa Azul",304,22,74890000,6,"3-4-3",12087,28012,33970,31026,30477,38449,32338,9763,38854,10276,38964
9,4492,11678835,"Julia",252,56,80020000,7,"4-3-3",17021,18916,26566,26813,1074,19445,9480,32135,35615,33,34803
10,4493,8128710,"Los vengadores",463,59,144970000,1,"3-4-3",23880,1309,10574,33971,18174,17344,38958,31243,26271,19577,24509
10,4493,10089858,"Karlox F.C.",374,28,87550000,2,"4-3-3",11,30493,34111,21068,37715,30789,24474,38355,38289,2009,12526
10,4493,8127478,"Arregui",458,16,112290000,3,"3-4-3",38405,1613,13994,27960,2597,30495,35344,30210,18382,17937,26930
10,4493,6822272,"Ricardo J",359,43,152440000,4,"4-5-1",38527,38369,1676,20,1760,19441,19547,37724,2602,35901,38962
10,4493,6826480,"Víctor Orta",302,34,70040000,5,"4-3-3",9090,11800,32440,38194,38290,38963,4245,32629,38164,9047,32363
10,4493,5684093,"CD Cornisa Azul",334,30,74890000,6,"3-4-3",12087,28012,33970,31026,30477,38449,32338,9763,38854,10276,38964
10,4493,11678835,"Julia",314,62,80020000,7,"4-3-3",17021,18916,26566,26813,1074,19445,9480,21145,35615,33,34803
11,4494,8128710,"Los vengadores",530,67,144970000,1,"3-4-3",23880,37495,10574,33971,18174,1083,38958,31243,26271,19577,38843
