id,name,slug,nextGames_json
1,Athletic,athletic,[]
2,Atlético,atletico,[]
3,Barcelona,barcelona,[]
5,Celta,celta,[]
7,Espanyol,espanyol,[]
8,Getafe,getafe,[]
10,Levante,levante,[]
13,Real Sociedad,real-sociedad,[]
15,Real Madrid,real-madrid,[]
17,Sevilla,sevilla,[]
18,Valencia,valencia,[]
19,Villarreal,villarreal,[]
70,Rayo Vallecano,rayo-vallecano,[]
75,Elche,elche,[]
87,Betis,betis,[]
91,Alavés,alaves,[]
93,Osasuna,osasuna,[]
