round_order,round_id,round_name,round_short,round_part,round_status,user_id,user_name,user_icon,total_points_after_round,team_value,team_value_increment,league_position,lineup_type,lineup_points,lineup_position,lineup_date,lineup_date_iso,lineup_count,bonus_point,bonus_fixed,total_points_before_round
5,4487,Jornada 4,J4,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,276,102410000,-890000,3,3-4-3,68,1,1756453493,2025-08-29T07:44:53+00:00,True,240000,500000,208
5,4487,Jornada 4,J4,,finished,6822272,Ricardo J,,155,157450000,-1960000,4,4-5-1,36,4,1757575459,2025-09-11T07:24:19+00:00,True,720000,500000,119
5,4487,Jornada 4,J4,,finished,6826480,Víctor Orta,i/u/6826480.png,128,87480000,-350000,5,4-3-3,42,3,1757669629,2025-09-12T09:33:49+00:00,True,700000,500000,86
5,4487,Jornada 4,J4,,finished,5684093,CD Cornisa Azul,icons/42.png,165,78730000,-540000,6,3-5-2,20,6,1757690210,2025-09-12T15:16:50+00:00,True,1040000,500000,145
5,4487,Jornada 4,J4,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,116,78670000,-620000,7,5-3-2,12,7,1757145109,2025-09-06T07:51:49+00:00,True,1360000,500000,104
6,4488,Jornada 5,J5,,finished,8128710,Los vengadores,icons/11.png,276,138560000,-950000,1,3-4-3,50,2,1758299077,2025-09-19T16:24:37+00:00,True,620000,500000,226
6,4488,Jornada 5,J5,,finished,10089858,Karlox F.C.,icons/7.png,233,91370000,-770000,2,3-5-2,51,1,1758172165,2025-09-18T05:09:25+00:00,True,440000,500000,182
6,4488,Jornada 5,J5,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,323,102410000,-890000,3,3-4-3,47,3,1758095281,2025-09-17T07:48:01+00:00,True,760000,500000,276
6,4488,Jornada 5,J5,,finished,6822272,Ricardo J,,186,157450000,-1960000,4,3-5-2,31,6,1758174024,2025-09-18T05:40:24+00:00,True,1000000,500000,155
6,4488,Jornada 5,J5,,finished,6826480,Víctor Orta,i/u/6826480.png,166,87480000,-350000,5,4-4-2,38,5,1758270560,2025-09-19T08:29:20+00:00,True,940000,500000,128
6,4488,Jornada 5,J5,,finished,5684093,CD Cornisa Azul,icons/42.png,211,78730000,-540000,6,4-4-2,46,4,1758269598,2025-09-19T08:13:18+00:00,True,920000,500000,165
6,4488,Jornada 5,J5,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,138,78670000,-620000,7,4-3-3,22,7,1758258640,2025-09-19T05:10:40+00:00,True,1020000,500000,116
7,4710,Jornada 6 (aplazada),J6,2,finished,8128710,Los vengadores,icons/11.png,276,138560000,-950000,1,3-4-3,41,1,1756321199,2025-08-27T18:59:59+00:00,True,280000,500000,235
7,4710,Jornada 6 (aplazada),J6,2,finished,10089858,Karlox F.C.,icons/7.png,233,91370000,-770000,2,4-4-2,30,3,1756311686,2025-08-27T16:21:26+00:00,True,580000,500000,203
7,4710,Jornada 6 (aplazada),J6,2,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,323,102410000,-890000,3,4-3-3,36,2,1755499922,2025-08-18T06:52:02+00:00,True,360000,500000,287
7,4710,Jornada 6 (aplazada),J6,2,finished,6822272,Ricardo J,,186,157450000,-1960000,4,3-4-3,29,4,1756306941,2025-08-27T15:02:21+00:00,True,580000,500000,157
7,4710,Jornada 6 (aplazada),J6,2,finished,6826480,Víctor Orta,i/u/6826480.png,166,87480000,-350000,5,4-3-3,14,7,1755273847,2025-08-15T16:04:07+00:00,True,820000,500000,152
7,4710,Jornada 6 (aplazada),J6,2,finished,5684093,CD Cornisa Azul,icons/42.png,211,78730000,-540000,6,4-4-2,29,5,1756165421,2025-08-25T23:43:41+00:00,True,600000,500000,182
7,4710,Jornada 6 (aplazada),J6,2,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,138,78670000,-620000,7,4-4-2,18,6,1755762086,2025-08-21T07:41:26+00:00,True,720000,500000,120
8,4490,Jornada 7,J7,,finished,8128710,Los vengadores,icons/11.png,315,138560000,-950000,1,3-4-3,39,3,1758864270,2025-09-26T05:24:30+00:00,True,620000,500000,276
8,4490,Jornada 7,J7,,finished,10089858,Karlox F.C.,icons/7.png,284,91370000,-770000,2,3-5-2,51,1,1758878412,2025-09-26T09:20:12+00:00,True,440000,500000,233
8,4490,Jornada 7,J7,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,354,102410000,-890000,3,3-4-3,31,5,1758895697,2025-09-26T14:08:17+00:00,True,780000,500000,323
8,4490,Jornada 7,J7,,finished,6822272,Ricardo J,,227,157450000,-1960000,4,4-3-3,41,2,1758866210,2025-09-26T05:56:50+00:00,True,520000,500000,186
8,4490,Jornada 7,J7,,finished,6826480,Víctor Orta,i/u/6826480.png,200,87480000,-350000,5,3-5-2,34,4,1758841575,2025-09-25T23:06:15+00:00,True,680000,500000,166
8,4490,Jornada 7,J7,,finished,5684093,CD Cornisa Azul,icons/42.png,233,78730000,-540000,6,4-5-1,22,7,1758866013,2025-09-26T05:53:33+00:00,True,1020000,500000,211
8,4490,Jornada 7,J7,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,164,78670000,-620000,7,4-3-3,26,6,1758691880,2025-09-24T05:31:20+00:00,True,820000,500000,138
9,4491,Jornada 8,J8,,finished,8128710,Los vengadores,icons/11.png,365,138560000,-950000,1,3-5-2,50,1,1759515273,2025-10-03T18:14:33+00:00,True,540000,500000,315
9,4491,Jornada 8,J8,,finished,10089858,Karlox F.C.,icons/7.png,312,91370000,-770000,2,4-3-3,28,6,1759473043,2025-10-03T06:30:43+00:00,True,1000000,500000,284
9,4491,Jornada 8,J8,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,404,102410000,-890000,3,3-4-3,50,2,1759211691,2025-09-30T05:54:51+00:00,True,560000,500000,354
9,4491,Jornada 8,J8,,finished,6822272,Ricardo J,,268,157450000,-1960000,4,4-3-3,41,4,1759469429,2025-10-03T05:30:29+00:00,True,820000,500000,227
9,4491,Jornada 8,J8,,finished,6826480,Víctor Orta,i/u/6826480.png,227,87480000,-350000,5,4-4-2,27,7,1759234674,2025-09-30T12:17:54+00:00,True,1000000,500000,200
9,4491,Jornada 8,J8,,finished,5684093,CD Cornisa Azul,icons/42.png,282,78730000,-540000,6,4-4-2,49,3,1759471137,2025-10-03T05:58:57+00:00,True,640000,500000,233
9,4491,Jornada 8,J8,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,196,78670000,-620000,7,4-3-3,32,5,1759383125,2025-10-02T05:32:05+00:00,True,980000,500000,164
10,4492,Jornada 9,J9,,finished,8128710,Los vengadores,icons/11.png,404,138560000,-950000,1,3-4-3,39,4,1760726776,2025-10-17T18:46:16+00:00,True,780000,500000,365
10,4492,Jornada 9,J9,,finished,10089858,Karlox F.C.,icons/7.png,346,91370000,-770000,2,4-3-3,34,6,1760717060,2025-10-17T16:04:20+00:00,True,960000,500000,312
10,4492,Jornada 9,J9,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,442,102410000,-890000,3,3-4-3,38,5,1760592179,2025-10-16T05:22:59+00:00,True,820000,500000,404
10,4492,Jornada 9,J9,,finished,6822272,Ricardo J,,316,157450000,-1960000,4,3-5-2,48,2,1760598880,2025-10-16T07:14:40+00:00,True,680000,500000,268
10,4492,Jornada 9,J9,,finished,6826480,Víctor Orta,i/u/6826480.png,268,87480000,-350000,5,4-3-3,41,3,1760685384,2025-10-17T07:16:24+00:00,True,760000,500000,227
10,4492,Jornada 9,J9,,finished,5684093,CD Cornisa Azul,icons/42.png,304,78730000,-540000,6,3-4-3,22,7,1760255307,2025-10-12T07:48:27+00:00,True,1120000,500000,282
10,4492,Jornada 9,J9,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,252,78670000,-620000,7,4-3-3,56,1,1760419161,2025-10-14T05:19:21+00:00,True,440000,500000,196
11,4493,Jornada 10,J10,,finished,8128710,Los vengadores,icons/11.png,463,138560000,-950000,1,3-4-3,59,2,1761322119,2025-10-24T16:08:39+00:00,True,560000,500000,404
11,4493,Jornada 10,J10,,finished,10089858,Karlox F.C.,icons/7.png,374,91370000,-770000,2,4-3-3,28,6,1760908537,2025-10-19T21:15:37+00:00,True,1180000,500000,346
11,4493,Jornada 10,J10,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,458,102410000,-890000,3,3-4-3,16,7,1761283963,2025-10-24T05:32:43+00:00,True,1240000,500000,442
11,4493,Jornada 10,J10,,finished,6822272,Ricardo J,,359,157450000,-1960000,4,4-5-1,43,3,1761287486,2025-10-24T06:31:26+00:00,True,600000,500000,316
11,4493,Jornada 10,J10,,finished,6826480,Víctor Orta,i/u/6826480.png,302,87480000,-350000,5,4-3-3,34,4,1760685384,2025-10-17T07:16:24+00:00,True,680000,500000,268
11,4493,Jornada 10,J10,,finished,5684093,CD Cornisa Azul,icons/42.png,334,78730000,-540000,6,3-4-3,30,5,1760255307,2025-10-12T07:48:27+00:00,True,860000,500000,304
11,4493,Jornada 10,J10,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,314,78670000,-620000,7,4-3-3,62,1,1761112864,2025-10-22T06:01:04+00:00,True,320000,500000,252
12,4494,Jornada 11,J11,,finished,8128710,Los vengadores,icons/11.png,530,138560000,-950000,1,3-4-3,67,1,1761938736,2025-10-31T19:25:36+00:00,True,480000,500000,463
12,4494,Jornada 11,J11,,finished,10089858,Karlox F.C.,icons/7.png,441,91370000,-770000,2,3-4-3,67,2,1761892110,2025-10-31T06:28:30+00:00,True,680000,500000,374
12,4494,Jornada 11,J11,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,507,102410000,-890000,3,4-4-2,49,3,1761899066,2025-10-31T08:24:26+00:00,True,720000,500000,458
12,4494,Jornada 11,J11,,finished,6822272,Ricardo J,,405,157450000,-1960000,4,4-5-1,46,4,1761894648,2025-10-31T07:10:48+00:00,True,920000,500000,359
12,4494,Jornada 11,J11,,finished,6826480,Víctor Orta,i/u/6826480.png,338,87480000,-350000,5,4-3-3,36,5,1761896681,2025-10-31T07:44:41+00:00,True,980000,500000,302
12,4494,Jornada 11,J11,,finished,5684093,CD Cornisa Azul,icons/42.png,358,78730000,-540000,6,4-4-2,24,7,1761939751,2025-10-31T19:42:31+00:00,True,1340000,500000,334
12,4494,Jornada 11,J11,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,348,78670000,-620000,7,4-3-3,34,6,1761807704,2025-10-30T07:01:44+00:00,True,1340000,500000,314
13,4495,Jornada 12,J12,,finished,8128710,Los vengadores,icons/11.png,585,138560000,-950000,1,3-4-3,55,1,1762460920,2025-11-06T20:28:40+00:00,True,520000,500000,530
13,4495,Jornada 12,J12,,finished,10089858,Karlox F.C.,icons/7.png,482,91370000,-770000,2,3-4-3,41,3,1762241313,2025-11-04T07:28:33+00:00,True,780000,500000,441
13,4495,Jornada 12,J12,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,547,102410000,-890000,3,4-5-1,40,4,1762503691,2025-11-07T08:21:31+00:00,True,800000,500000,507
13,4495,Jornada 12,J12,,finished,6822272,Ricardo J,,431,157450000,-1960000,4,3-4-3,26,7,1762542585,2025-11-07T19:09:45+00:00,True,1100000,500000,405
13,4495,Jornada 12,J12,,finished,6826480,Víctor Orta,i/u/6826480.png,377,87480000,-350000,5,4-3-3,39,5,1762503892,2025-11-07T08:24:52+00:00,True,820000,500000,338
13,4495,Jornada 12,J12,,finished,5684093,CD Cornisa Azul,icons/42.png,403,78730000,-540000,6,5-3-2,45,2,1762519798,2025-11-07T12:49:58+00:00,True,620000,500000,358
13,4495,Jornada 12,J12,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,379,78670000,-620000,7,4-3-3,31,6,1762153202,2025-11-03T07:00:02+00:00,True,900000,500000,348
14,4496,Jornada 13,J13,,finished,8128710,Los vengadores,icons/11.png,646,138560000,-950000,1,3-4-3,61,1,1763754270,2025-11-21T19:44:30+00:00,True,480000,500000,585
14,4496,Jornada 13,J13,,finished,10089858,Karlox F.C.,icons/7.png,532,91370000,-770000,2,4-4-2,50,2,1763754208,2025-11-21T19:43:28+00:00,True,560000,500000,482
14,4496,Jornada 13,J13,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,575,102410000,-890000,3,3-4-3,28,6,1763717549,2025-11-21T09:32:29+00:00,True,1000000,500000,547
14,4496,Jornada 13,J13,,finished,6822272,Ricardo J,,464,157450000,-1960000,4,3-4-3,33,5,1763625627,2025-11-20T08:00:27+00:00,True,940000,500000,431
14,4496,Jornada 13,J13,,finished,6826480,Víctor Orta,i/u/6826480.png,424,87480000,-350000,5,4-3-3,47,3,1763750464,2025-11-21T18:41:04+00:00,True,660000,500000,377
14,4496,Jornada 13,J13,,finished,5684093,CD Cornisa Azul,icons/42.png,427,78730000,-540000,6,5-3-2,24,7,1763734615,2025-11-21T14:16:55+00:00,True,1220000,500000,403
14,4496,Jornada 13,J13,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,415,78670000,-620000,7,4-3-3,36,4,1762927989,2025-11-12T06:13:09+00:00,True,720000,500000,379
15,4497,Jornada 14,J14,,finished,8128710,Los vengadores,icons/11.png,688,138560000,-950000,1,4-3-3,42,3,1764318983,2025-11-28T08:36:23+00:00,True,720000,500000,646
15,4497,Jornada 14,J14,,finished,10089858,Karlox F.C.,icons/7.png,590,91370000,-770000,2,4-4-2,58,2,1764356764,2025-11-28T19:06:04+00:00,True,560000,500000,532
15,4497,Jornada 14,J14,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,637,102410000,-890000,3,4-3-3,62,1,1764230923,2025-11-27T08:08:43+00:00,True,520000,500000,575
15,4497,Jornada 14,J14,,finished,6822272,Ricardo J,,500,157450000,-1960000,4,3-4-3,36,5,1764275161,2025-11-27T20:26:01+00:00,True,840000,500000,464
15,4497,Jornada 14,J14,,finished,6826480,Víctor Orta,i/u/6826480.png,464,87480000,-350000,5,4-3-3,40,4,1764355686,2025-11-28T18:48:06+00:00,True,800000,500000,424
15,4497,Jornada 14,J14,,finished,5684093,CD Cornisa Azul,icons/42.png,453,78730000,-540000,6,4-3-3,26,7,1764356497,2025-11-28T19:01:37+00:00,True,1240000,500000,427
15,4497,Jornada 14,J14,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,443,78670000,-620000,7,4-3-3,28,6,1762927989,2025-11-12T06:13:09+00:00,True,1160000,500000,415
16,4502,Jornada 19,J19,,finished,8128710,Los vengadores,icons/11.png,733,138560000,-950000,1,3-4-3,45,6,1764698779,2025-12-02T18:06:19+00:00,True,480000,500000,688
16,4502,Jornada 19,J19,,finished,10089858,Karlox F.C.,icons/7.png,644,91370000,-770000,2,4-4-2,54,3,1764703475,2025-12-02T19:24:35+00:00,True,400000,500000,590
16,4502,Jornada 19,J19,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,705,102410000,-890000,3,4-3-3,68,1,1764497038,2025-11-30T10:03:58+00:00,True,200000,500000,637
16,4502,Jornada 19,J19,,finished,6822272,Ricardo J,,546,157450000,-1960000,4,3-4-3,46,5,1764664723,2025-12-02T08:38:43+00:00,True,40000,500000,500
16,4502,Jornada 19,J19,,finished,6826480,Víctor Orta,i/u/6826480.png,503,87480000,-350000,5,4-3-3,39,7,1764355686,2025-11-28T18:48:06+00:00,True,680000,500000,464
16,4502,Jornada 19,J19,,finished,5684093,CD Cornisa Azul,icons/42.png,505,78730000,-540000,6,4-3-3,52,4,1764684376,2025-12-02T14:06:16+00:00,True,640000,500000,453
16,4502,Jornada 19,J19,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,511,78670000,-620000,7,3-4-3,68,2,1764571813,2025-12-01T06:50:13+00:00,True,560000,500000,443
17,4498,Jornada 15,J15,,finished,8128710,Los vengadores,icons/11.png,756,138560000,-950000,1,4-4-2,23,6,1764963725,2025-12-05T19:42:05+00:00,True,800000,500000,733
17,4498,Jornada 15,J15,,finished,10089858,Karlox F.C.,icons/7.png,682,91370000,-770000,2,4-4-2,38,2,1764914904,2025-12-05T06:08:24+00:00,True,600000,500000,644
17,4498,Jornada 15,J15,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,705,102410000,-890000,3,4-3-3,56,7,1764744410,2025-12-03T06:46:50+00:00,False,,,649
17,4498,Jornada 15,J15,,finished,6822272,Ricardo J,,578,157450000,-1960000,4,3-4-3,32,3,1764832036,2025-12-04T07:07:16+00:00,True,620000,500000,546
17,4498,Jornada 15,J15,,finished,6826480,Víctor Orta,i/u/6826480.png,543,87480000,-350000,5,4-3-3,40,1,1764956223,2025-12-05T17:37:03+00:00,True,460000,500000,503
17,4498,Jornada 15,J15,,finished,5684093,CD Cornisa Azul,icons/42.png,536,78730000,-540000,6,4-3-3,31,4,1764684376,2025-12-02T14:06:16+00:00,True,640000,500000,505
17,4498,Jornada 15,J15,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,541,78670000,-620000,7,3-4-3,30,5,1764571813,2025-12-01T06:50:13+00:00,True,760000,500000,511
18,4499,Jornada 16,J16,,finished,8128710,Los vengadores,icons/11.png,793,138560000,-950000,1,4-3-3,37,4,1765569597,2025-12-12T19:59:57+00:00,True,740000,500000,756
