id,name,slug,teamID,position,price,fantasyPrice,number,status,priceIncrement,playedHome,playedAway,points,pointsHome,pointsAway,pointsLastSeason,fitness_json,iconHero,altPositions,statusInfo,statusChange
39673,Julio Díaz,julio-diaz,2,2,160000,8000000,34,ok,10000,0,4,24,0,24,,"[null,null,null,null,6]",,,,
12596,Firpo,junior-firpo,87,2,180000,19000000,23,ok,0,7,5,14,4,10,,"[null,2,2,null,""injured""]",,,,
3159,Jutglà,jutgla,5,4,4690000,28000000,9,ok,0,16,14,133,62,71,,"[2,-2,16,2,6]",i/p/hero/3159.png,,,
38075,Kervin Arriaga,kervin-arriaga,10,3,2290000,9000000,16,ok,-50000,13,14,93,41,52,,"[6,14,14,""sanctioned"",2]",,,,
18256,Kike Barja,kike-barja,93,3,400000,7000000,11,ok,-10000,14,13,66,44,22,36,"[2,2,10,null,2]",,[4],,
742,Kike García,kike-garcia,7,4,2510000,14000000,19,ok,-50000,18,19,124,62,62,170,"[2,5,9,2,-2]",i/p/hero/742.png,,,
28115,Kike Salas,kike-salas,17,2,2830000,13000000,4,ok,0,14,12,120,81,39,123,"[2,6,11,6,6]",i/p/hero/28115.png,,,
856,Kiko Femenía,kiko-femenia,8,2,380000,10000000,17,ok,-10000,15,13,73,47,26,96,"[null,""doubt"",""doubt"",""doubt"",2]",,[3],,
39301,Kochen,kochen,3,1,150000,7000000,31,ok,0,0,0,0,0,0,,"[null,null,null,null,null]",,,,
1083,Koke,koke,2,3,3920000,15000000,6,ok,0,18,16,144,80,64,94,"[2,6,2,2,6]",,,,
26271,Yamal,lamine-yamal,3,4,14350000,66000000,10,ok,170000,15,13,220,121,99,233,"[null,""injured"",""injured"",""injured"",""injured""]",i/p/hero/26271.png,,,
1613,Laporte,laporte,1,2,3020000,22000000,14,ok,-60000,14,11,94,56,38,,"[null,2,2,2,2]",,,,
26071,Ramazani,largie-ramazani,18,4,4290000,8000000,17,ok,-90000,15,12,114,59,55,,"[2,2,2,2,2]",i/p/hero/26071.png,[3],,
15719,Le Normand,le-normand,2,2,1460000,15000000,24,ok,-40000,14,14,63,31,32,91,"[""sanctioned"",2,2,2,2]",i/p/hero/15719.png,,,
11800,Cabrera,leandro-cabrera,7,2,3980000,12000000,6,ok,0,19,18,181,91,90,120,"[6,6,6,2,2]",i/p/hero/11800.png,,,
2476,Lejeune,lejeune,70,2,7610000,17000000,24,ok,0,18,18,190,109,81,196,"[null,6,11,6,6]",,,,
2577,Lekue,lekue,1,2,150000,8000000,15,ok,0,8,4,-2,-2,0,22,"[2,null,null,null,null]",,,,
6828,Lenglet,lenglet,2,2,280000,12000000,15,ok,0,7,12,27,14,13,72,"[-2,2,2,null,2]",,,,
