board_index,content_index,type,date,date_iso,fixed,title,author_id,author_name,player_id,amount,from_user_id,from_user_name,to_user_id,to_user_name,content_json
344,0,market,1761718359,2025-10-29T06:12:39+00:00,False,,,,22964,3790000,,,6822272,Ricardo J,"{""player"":22964,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":3790000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3780000}]}"
344,1,market,1761718359,2025-10-29T06:12:39+00:00,False,,,,38308,2062000,,,5684093,CD Cornisa Azul,"{""player"":38308,""to"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":2062000}"
345,0,transfer,1761638097,2025-10-28T07:54:57+00:00,False,,,,35901,3699700,6822272,Ricardo J,,,"{""player"":35901,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":3699700}"
346,0,market,1761631830,2025-10-28T06:10:30+00:00,False,,,,2184,3265102,,,5684093,CD Cornisa Azul,"{""player"":2184,""to"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":3265102}"
346,1,market,1761631830,2025-10-28T06:10:30+00:00,False,,,,4703,1668000,,,8128710,Los vengadores,"{""player"":4703,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1668000}"
347,0,transfer,1761556064,2025-10-27T09:07:44+00:00,False,,,,13994,627600,8127478,Arregui,,,"{""player"":13994,""from"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":627600}"
348,0,transfer,1761554788,2025-10-27T08:46:28+00:00,False,,,,2001,7193500,8128710,Los vengadores,,,"{""player"":2001,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":7193500}"
349,0,transfer,1761548335,2025-10-27T06:58:55+00:00,False,,,,38964,4771600,5684093,CD Cornisa Azul,,,"{""player"":38964,""from"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":4771600}"
349,1,transfer,1761548335,2025-10-27T06:58:55+00:00,False,,,,38854,1553700,5684093,CD Cornisa Azul,,,"{""player"":38854,""from"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":1553700}"
350,0,transfer,1761546760,2025-10-27T06:32:40+00:00,False,,,,38527,1175900,6822272,Ricardo J,,,"{""player"":38527,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":1175900}"
