date,date_iso,until,until_iso,price,player_id,seller_user_id,seller_user_name
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,2910000,2602,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,150000,9068,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,820000,10158,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,1340000,19614,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,6220000,20102,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,150000,27625,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,290000,30505,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,150000,30507,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,6780000,31027,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,150000,32464,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,1900000,35291,,
1781154417,2026-06-11T05:06:57+00:00,1781240400,2026-06-12T05:00:00+00:00,430000,38963,,
