date,date_iso,round_id,round_name,score_id,user_id,user_name,points,bonus,reason_bonusPoint,reason_bonusFixed,reason_json,reason_bonusRoundPosition
1777993536,2026-05-05T15:05:36+00:00,4517,Jornada 34,1,8127478,Arregui,54,1940000,940000,500000,"{""bonusPoint"":940000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1777993536,2026-05-05T15:05:36+00:00,4517,Jornada 34,1,6822272,Ricardo J,53,2310000,1060000,500000,"{""bonusPoint"":1060000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1777993536,2026-05-05T15:05:36+00:00,4517,Jornada 34,1,6826480,Víctor Orta,47,2580000,1080000,500000,"{""bonusPoint"":1080000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1777993536,2026-05-05T15:05:36+00:00,4517,Jornada 34,1,8128710,Los vengadores,36,2870000,1120000,500000,"{""bonusPoint"":1120000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1777993536,2026-05-05T15:05:36+00:00,4517,Jornada 34,1,11678835,Julia,34,3460000,1460000,500000,"{""bonusPoint"":1460000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,8127478,Arregui,58,1260000,760000,500000,"{""bonusPoint"":760000,""bonusFixed"":500000}",
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,6826480,Víctor Orta,57,1570000,820000,500000,"{""bonusPoint"":820000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,6822272,Ricardo J,55,1980000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,8128710,Los vengadores,54,2330000,1080000,500000,"{""bonusPoint"":1080000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,11678835,Julia,49,2600000,1100000,500000,"{""bonusPoint"":1100000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,5684093,CD Cornisa Azul,41,2890000,1140000,500000,"{""bonusPoint"":1140000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1777388850,2026-04-28T15:07:30+00:00,4515,Jornada 32,1,10089858,Karlox F.C.,38,3160000,1160000,500000,"{""bonusPoint"":1160000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,5684093,CD Cornisa Azul,58,1300000,800000,500000,"{""bonusPoint"":800000,""bonusFixed"":500000}",
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,8127478,Arregui,50,1610000,860000,500000,"{""bonusPoint"":860000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,11678835,Julia,49,1920000,920000,500000,"{""bonusPoint"":920000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,8128710,Los vengadores,46,2230000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,6826480,Víctor Orta,43,2500000,1000000,500000,"{""bonusPoint"":1000000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,10089858,Karlox F.C.,40,2910000,1160000,500000,"{""bonusPoint"":1160000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1777028752,2026-04-24T11:05:52+00:00,4516,Jornada 33,1,6822272,Ricardo J,55,,,,{},
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,5684093,CD Cornisa Azul,64,1060000,560000,500000,"{""bonusPoint"":560000,""bonusFixed"":500000}",
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,8128710,Los vengadores,61,1510000,760000,500000,"{""bonusPoint"":760000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,6822272,Ricardo J,53,1820000,820000,500000,"{""bonusPoint"":820000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,6826480,Víctor Orta,43,2110000,860000,500000,"{""bonusPoint"":860000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,11678835,Julia,41,2560000,1060000,500000,"{""bonusPoint"":1060000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,10089858,Karlox F.C.,38,2970000,1220000,500000,"{""bonusPoint"":1220000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1776179269,2026-04-14T15:07:49+00:00,4514,Jornada 31,1,8127478,Arregui,28,3280000,1280000,500000,"{""bonusPoint"":1280000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,8127478,Arregui,58,1260000,760000,500000,"{""bonusPoint"":760000,""bonusFixed"":500000}",
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,6826480,Víctor Orta,51,1510000,760000,500000,"{""bonusPoint"":760000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,5684093,CD Cornisa Azul,49,1780000,780000,500000,"{""bonusPoint"":780000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,11678835,Julia,45,2150000,900000,500000,"{""bonusPoint"":900000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,10089858,Karlox F.C.,39,2480000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,8128710,Los vengadores,38,2770000,1020000,500000,"{""bonusPoint"":1020000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1775574497,2026-04-07T15:08:17+00:00,4513,Jornada 30,1,6822272,Ricardo J,38,3160000,1160000,500000,"{""bonusPoint"":1160000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,6822272,Ricardo J,62,1040000,540000,500000,"{""bonusPoint"":540000,""bonusFixed"":500000}",
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,8127478,Arregui,61,1550000,800000,500000,"{""bonusPoint"":800000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,10089858,Karlox F.C.,55,2060000,1060000,500000,"{""bonusPoint"":1060000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,11678835,Julia,54,2330000,1080000,500000,"{""bonusPoint"":1080000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,5684093,CD Cornisa Azul,53,2600000,1100000,500000,"{""bonusPoint"":1100000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,8128710,Los vengadores,40,2970000,1220000,500000,"{""bonusPoint"":1220000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1774282036,2026-03-23T16:07:16+00:00,4512,Jornada 29,1,6826480,Víctor Orta,27,3240000,1240000,500000,"{""bonusPoint"":1240000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,8127478,Arregui,59,1180000,680000,500000,"{""bonusPoint"":680000,""bonusFixed"":500000}",
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,6822272,Ricardo J,55,1470000,720000,500000,"{""bonusPoint"":720000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,8128710,Los vengadores,51,1960000,960000,500000,"{""bonusPoint"":960000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,10089858,Karlox F.C.,50,2250000,1000000,500000,"{""bonusPoint"":1000000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,6826480,Víctor Orta,48,2520000,1020000,500000,"{""bonusPoint"":1020000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,11678835,Julia,36,2850000,1100000,500000,"{""bonusPoint"":1100000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1773763532,2026-03-17T16:05:32+00:00,4511,Jornada 28,1,5684093,CD Cornisa Azul,34,3180000,1180000,500000,"{""bonusPoint"":1180000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,11678835,Julia,49,1020000,520000,500000,"{""bonusPoint"":520000,""bonusFixed"":500000}",
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,6822272,Ricardo J,48,1590000,840000,500000,"{""bonusPoint"":840000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,5684093,CD Cornisa Azul,48,1880000,880000,500000,"{""bonusPoint"":880000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,10089858,Karlox F.C.,46,2170000,920000,500000,"{""bonusPoint"":920000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,8128710,Los vengadores,44,2460000,960000,500000,"{""bonusPoint"":960000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,6826480,Víctor Orta,42,2710000,960000,500000,"{""bonusPoint"":960000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1773158669,2026-03-10T16:04:29+00:00,4510,Jornada 27,1,8127478,Arregui,26,2980000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,10089858,Karlox F.C.,66,1040000,540000,500000,"{""bonusPoint"":540000,""bonusFixed"":500000}",
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,8128710,Los vengadores,64,1390000,640000,500000,"{""bonusPoint"":640000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,8127478,Arregui,59,1820000,820000,500000,"{""bonusPoint"":820000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,11678835,Julia,44,2130000,880000,500000,"{""bonusPoint"":880000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,6822272,Ricardo J,41,2680000,1180000,500000,"{""bonusPoint"":1180000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,5684093,CD Cornisa Azul,32,3030000,1280000,500000,"{""bonusPoint"":1280000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1772726879,2026-03-05T16:07:59+00:00,4832,Jornada 23 (aplazada),1,6826480,Víctor Orta,27,3320000,1320000,500000,"{""bonusPoint"":1320000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,8128710,Los vengadores,63,1000000,500000,500000,"{""bonusPoint"":500000,""bonusFixed"":500000}",
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,10089858,Karlox F.C.,52,1310000,560000,500000,"{""bonusPoint"":560000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,11678835,Julia,41,1680000,680000,500000,"{""bonusPoint"":680000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,5684093,CD Cornisa Azul,38,2010000,760000,500000,"{""bonusPoint"":760000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
