player_id,player_name,player_slug,owner_user_id,owner_user_name,acquired_date,acquired_date_iso,acquired_amount,acquired_type,sold_date,sold_date_iso,sold_to_user_id,sold_to_user_name
37495,Huijsen,dean-huijsen,6822272,Ricardo J,1762582107,2025-11-08T06:08:27+00:00,7890000,market,1773381976,2026-03-13T06:06:16+00:00,6826480,Víctor Orta
37495,Huijsen,dean-huijsen,6826480,Víctor Orta,1773381976,2026-03-13T06:06:16+00:00,4783000,market,,,,
31018,Santiago Mouriño,s-mourino,8128710,Los vengadores,1761977909,2025-11-01T06:18:29+00:00,3360000,market,1768284555,2026-01-13T06:09:15+00:00,8128710,Los vengadores
31018,Santiago Mouriño,s-mourino,8128710,Los vengadores,1768284555,2026-01-13T06:09:15+00:00,2360000,market,1769494356,2026-01-27T06:12:36+00:00,8127478,Arregui
31018,Santiago Mouriño,s-mourino,8127478,Arregui,1769494356,2026-01-27T06:12:36+00:00,2300000,market,1773381976,2026-03-13T06:06:16+00:00,6826480,Víctor Orta
31018,Santiago Mouriño,s-mourino,6826480,Víctor Orta,1773381976,2026-03-13T06:06:16+00:00,3220000,market,,,,
26879,Swedberg,swedberg,6822272,Ricardo J,1756271466,2025-08-27T05:11:06+00:00,1520007,market,1773295740,2026-03-12T06:09:00+00:00,6822272,Ricardo J
26879,Swedberg,swedberg,6822272,Ricardo J,1773295740,2026-03-12T06:09:00+00:00,3055000,market,,,,
38959,,,6822272,Ricardo J,1773036728,2026-03-09T06:12:08+00:00,5600000,market,,,,
38290,Hancko,hancko,6826480,Víctor Orta,1754975391,2025-08-12T05:09:51+00:00,4150000,market,1773036728,2026-03-09T06:12:08+00:00,6822272,Ricardo J
38290,Hancko,hancko,6822272,Ricardo J,1773036728,2026-03-09T06:12:08+00:00,4700000,market,,,,
8747,Moncayola,moncayola,8128710,Los vengadores,1756703027,2025-09-01T05:03:47+00:00,3116000,market,1772950455,2026-03-08T06:14:15+00:00,10089858,Karlox F.C.
8747,Moncayola,moncayola,10089858,Karlox F.C.,1772950455,2026-03-08T06:14:15+00:00,3370096,market,,,,
19299,Sergio Gómez,sergio-gomez,8128710,Los vengadores,1761977909,2025-11-01T06:18:29+00:00,3385000,market,1772863686,2026-03-07T06:08:06+00:00,8127478,Arregui
19299,Sergio Gómez,sergio-gomez,8127478,Arregui,1772863686,2026-03-07T06:08:06+00:00,4300000,market,,,,
39804,Zaid Romero,zaid-romero,6822272,Ricardo J,1772777251,2026-03-06T06:07:31+00:00,4200000,market,,,,
